,year,make,model,trim,vin,odometer,grade,price,province,claim,estimate,history_report,glass_record,repair,previous_repair,accident_repair,additional_repair,rebuild,total_disclosure_amount
58,2017,toyota,highlander,le,5TDBZRFH8HS469880,"142,564",3.8,"$19,750",kitchner,4489.0,0.0,4489.0,0.0,0.0,0.0,0.0,0.0,0.0,4489.0
59,2014,buick,encore,convenience,KL4CJASB9EB534490,"156,431",3.8,"$4,600",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2016,jeep,cherokee,trailhawk,1C4PJMBS4GW358548,"129,622",3.8,"$8,000",kitchner,0.0,0.0,0.0,615.0,0.0,0.0,0.0,0.0,0.0,615.0
61,2016,lexus,is,is,JTHCM1D29G5014235,"148,121",3.8,"$18,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2016,hyundai,tucson,limited,KM8J3CA20GU073235,"137,522",3.8,"$10,000",kitchner,0.0,0.0,0.0,712.0,0.0,0.0,0.0,0.0,0.0,712.0
63,2021,jeep,wrangler,altitude,1C4HJXEG9MW829568,"71,099",4.2,"$32,000",kitchner,1520.0,2833.76,4353.76,0.0,0.0,0.0,0.0,0.0,0.0,4353.76
64,2014,jeep,cherokee,sport,1C4PJLAB5EW153670,"105,587",3.8,"$6,300",kitchner,122.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0
65,2019,ford,f 150,other,1FTEW1E53KFB54863,"149,771",3.8,"$25,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2022,gmc,sierra,other,3GTP9EELXNG219345,"84,591",3.8,"$44,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2019,ford,mustang,other,1FA6P8CF9K5197959,"35,378",3.8,"$43,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2017,buick,enclave,premium,5GAKVCKD3HJ314616,"198,436",3.8,"$7,100",kitchner,0.0,0.0,0.0,891.0,0.0,0.0,0.0,0.0,0.0,891.0
69,2013,lincoln,mkx,other,2LMDJ8JK8DBL09345,"144,676",3.8,"$4,200",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2018,lincoln,mkt,elite,2LMHJ5AT6JBL02494,"193,762",3.8,"$7,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2019,buick,regal,other,W04GM6SX3K1042038,"140,407",3.8,"$9,200",kitchner,4016.5,0.0,4016.5,0.0,0.0,0.0,0.0,0.0,0.0,4016.5
72,2019,jeep,cherokee,sport,1C4PJMAX9KD361091,"62,518",3.8,"$16,000",kitchner,4118.0,0.0,4118.0,0.0,0.0,0.0,0.0,0.0,0.0,4118.0
73,2015,honda,pilot,ex,5FNYF4H59FB049684,"118,393",3.8,"$9,700",kitchner,304.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0
74,2010,dodge,grand,other,2D4RN4DE7AR174342,"114,931",3.8,"$4,600",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2016,chevrolet,malibu,lt,1G1ZE5ST8GF268713,"46,712",3.8,"$12,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2019,jeep,wrangler,sahara,1C4HJXEG6KW563133,"127,404",3.8,"$22,750",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2021,jeep,grand,other,1C4RJFAG6MC576540,"154,746",3.8,"$16,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2019,kia,sorento,ex,5XYPHDA3XKG591636,"144,202",3.8,"$10,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2023,honda,hr v,ex,3CZRZ2H79PM105728,"67,360",3.8,"$27,250",kitchner,6117.0,0.0,6117.0,0.0,0.0,0.0,0.0,0.0,0.0,6117.0
80,2023,jeep,wrangler,sport,1C4GJXAN5PW705060,"54,166",2.7,"$24,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2020,ford,explorer,xlt,1FMSK8DH1LGC49187,"152,924",2.3,"$16,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2016,jeep,cherokee,trailhawk,1C4PJMBS8GW353093,"154,748",3.3,"$8,700",kitchner,2543.0,0.0,2543.0,0.0,850.0,0.0,0.0,0.0,0.0,3393.0
83,2020,chevrolet,camaro,other,1G1FD3DS8L0137082,"101,721",2.9,"$21,250",kitchner,10928.0,0.0,10928.0,0.0,850.0,0.0,0.0,0.0,0.0,11778.0
84,2021,ram,2500,big horn,3C6UR5JJ5MG620251,"86,093",1.7,"$32,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2020,ford,f 150,other,1FTEW1EBXLFC82962,"112,897",2.1,"$21,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2017,chevrolet,cruze,lt,3G1BE5SM6HS591519,"204,908",2.1,"$2,600",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2020,acura,rdx,elite,5J8TC2H7XLL807177,"98,740",2.4,"$17,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2017,kia,forte,ex,3KPFL4A84HE068222,"165,429",1.6,"$3,800",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2015,dodge,journey,r t,3C4PDDFGXFT574499,"307,861",1.5,$250,kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2015,ram,1500,longhorn,1C6RR7PM1FS563089,"120,108",1.2,"$3,000",kitchner,6438.0,2754.94,9192.94,0.0,0.0,0.0,0.0,0.0,0.0,9192.94
91,2020,subaru,impreza,sport,4S3GKAG65L3610729,"87,638",1.4,"$9,500",kitchner,850.0,19574.81,20424.81,0.0,0.0,0.0,0.0,0.0,0.0,20424.81
92,2016,hyundai,accent,se,KMHCT5AE4GU256118,"107,172",1.9,"$3,700",kitchner,1323.0,0.0,1323.0,0.0,0.0,0.0,0.0,0.0,0.0,1323.0
93,2025,chevrolet,silverado,other,1GC10ZED7SU405367,"29,251",4.7,"$64,500",kitchner,0.0,0.0,0.0,1606.0,0.0,0.0,0.0,0.0,0.0,1606.0
94,2018,kz,sportsmen,other,4EZTK1914J4069307,"999,999",3.8,"$9,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2025,honda,civic,touring,2HGFE4F81SH005403,"125,108",3.3,"$25,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2023,hyundai,kona,limited,KM8K5CA33PU054332,"9,365",4.5,"$26,750",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2022,bmw,x3,m40i,5UX83DP02N9M43730,"134,551",3.1,"$28,750",kitchner,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,260.0
98,2019,acura,mdx,tech,5J8YD4H43KL803300,"128,702",2.7,"$23,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2017,acura,tlx,a spec,19UUB3F71HA801108,"130,250",2.1,"$13,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2016,acura,mdx,tech,5FRYD4H49GB504076,"208,676",3.6,"$9,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2013,mitsubishi,lancer,ralliart,JA32V6FV1DU609224,"110,093",3.3,"$8,250",kitchner,0.0,0.0,0.0,1199.0,0.0,0.0,0.0,0.0,0.0,1199.0
102,2021,jeep,wrangler,rubicon,1C4HJXFG8MW573406,"91,926",2.7,"$33,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2016,mazda,mazda3,touring,3MZBM1V77GM303452,"198,322",1.9,"$3,800",kitchner,0.0,0.0,0.0,964.0,0.0,0.0,0.0,0.0,0.0,964.0
104,2007,acura,tsx,other,JH4CL96837C801258,"259,654",1.8,"$1,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2024,volkswagen,atlas,other,1V2FE2CAXRC257169,"54,220",4.1,"$42,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2020,dodge,grand,other,2C4RDGCGXLR214405,"99,077",2.5,"$19,250",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2019,bmw,x3,xdrive30i,5UXTR9C59KLP88615,"114,258",2.0,"$14,250",kitchner,0.0,0.0,0.0,2048.0,0.0,0.0,0.0,0.0,0.0,2048.0
108,2016,bmw,x5,xdrive35d,5UXKS4C50G0N12724,"256,568",2.6,"$8,750",kitchner,6429.0,0.0,6429.0,0.0,0.0,0.0,0.0,0.0,0.0,6429.0
109,2014,hyundai,elantra,gl,KMHD25LH7EU212237,"131,554",3.0,"$3,500",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2014,jeep,grand,other,1C4RJFCM7EC342637,"153,921",1.3,"$6,750",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2026,toyota,corolla,le,JTDBDMHE3T3028236,"10,325",4.4,"$29,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2024,toyota,4runner,other,JTERU5JR0R6230875,"26,141",3.8,"$54,000",kitchner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
